K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
875,0.11085714285714286,0.10628571428571429,0.05142857142857143,0.054857142857142854,0.05942857142857143,0.05142857142857143
900,0.1111111111111111,0.10777777777777778,0.052222222222222225,0.05555555555555555,0.058888888888888886,0.052222222222222225
925,0.11135135135135135,0.10918918918918918,0.05189189189189189,0.05621621621621622,0.05945945945945946,0.05297297297297297
950,0.10947368421052632,0.11157894736842106,0.05052631578947368,0.05473684210526316,0.05894736842105263,0.056842105263157895
975,0.10974358974358975,0.1117948717948718,0.05128205128205128,0.05435897435897436,0.05846153846153846,0.057435897435897436
1000,0.11,0.116,0.05,0.054,0.06,0.062
1025,0.10829268292682927,0.11414634146341464,0.04878048780487805,0.05268292682926829,0.05951219512195122,0.06146341463414634
1050,0.10761904761904761,0.11428571428571428,0.049523809523809526,0.05333333333333334,0.058095238095238096,0.06095238095238095
1075,0.10511627906976745,0.11255813953488372,0.04837209302325581,0.053023255813953486,0.05674418604651163,0.059534883720930236
1100,0.10545454545454545,0.11545454545454545,0.04818181818181818,0.05545454545454546,0.057272727272727274,0.06
1125,0.10666666666666667,0.11555555555555555,0.04888888888888889,0.05688888888888889,0.057777777777777775,0.058666666666666666
1150,0.10521739130434783,0.11391304347826087,0.04782608695652174,0.05652173913043478,0.057391304347826085,0.057391304347826085
1175,0.10382978723404256,0.11319148936170213,0.04765957446808511,0.05617021276595745,0.05617021276595745,0.05702127659574468
1200,0.10333333333333333,0.11166666666666666,0.04666666666666667,0.05583333333333333,0.056666666666666664,0.05583333333333333
1225,0.10285714285714286,0.11183673469387755,0.045714285714285714,0.0563265306122449,0.05714285714285714,0.05551020408163265
1250,0.1016,0.112,0.0448,0.056,0.0568,0.056
1275,0.0996078431372549,0.11137254901960784,0.04392156862745098,0.05568627450980392,0.05568627450980392,0.05568627450980392
1300,0.09769230769230769,0.11076923076923077,0.043076923076923075,0.055384615384615386,0.054615384615384614,0.055384615384615386
1325,0.09660377358490566,0.1109433962264151,0.04226415094339623,0.05509433962264151,0.05433962264150943,0.05584905660377359
1350,0.0962962962962963,0.1111111111111111,0.042222222222222223,0.054814814814814816,0.05407407407407407,0.056296296296296296
1375,0.09672727272727273,0.11127272727272727,0.04290909090909091,0.056,0.05381818181818182,0.05527272727272727
1400,0.09642857142857143,0.11071428571428571,0.04285714285714286,0.055714285714285716,0.05357142857142857,0.055
1425,0.09543859649122807,0.11087719298245614,0.04280701754385965,0.05543859649122807,0.05263157894736842,0.05543859649122807
1450,0.09655172413793103,0.10896551724137932,0.043448275862068966,0.05448275862068966,0.05310344827586207,0.05448275862068966
1475,0.09694915254237288,0.10847457627118644,0.04338983050847458,0.05355932203389831,0.05355932203389831,0.05491525423728814
1500,0.09666666666666666,0.108,0.044,0.05266666666666667,0.05266666666666667,0.05533333333333333
1525,0.09508196721311475,0.1062295081967213,0.043278688524590166,0.05180327868852459,0.05180327868852459,0.05442622950819672
1550,0.09419354838709677,0.10516129032258065,0.043225806451612905,0.05161290322580645,0.05096774193548387,0.053548387096774196
1575,0.09396825396825396,0.10539682539682539,0.04380952380952381,0.050793650793650794,0.05015873015873016,0.054603174603174605
1600,0.094375,0.10625,0.044375,0.050625,0.05,0.055625
1625,0.09415384615384616,0.10584615384615384,0.04369230769230769,0.05046153846153846,0.05046153846153846,0.055384615384615386
1650,0.09393939393939393,0.10545454545454545,0.04363636363636364,0.0503030303030303,0.0503030303030303,0.05515151515151515
1675,0.09313432835820895,0.10567164179104478,0.04298507462686567,0.050746268656716415,0.05014925373134328,0.05492537313432836
1700,0.09352941176470589,0.10588235294117647,0.04294117647058823,0.05058823529411765,0.05058823529411765,0.05529411764705883
1725,0.09333333333333334,0.10492753623188406,0.042318840579710144,0.049855072463768114,0.051014492753623186,0.05507246376811594
1750,0.092,0.10628571428571429,0.04171428571428572,0.05085714285714286,0.05028571428571429,0.05542857142857143
1775,0.09126760563380282,0.1076056338028169,0.04112676056338028,0.05126760563380282,0.05014084507042253,0.056338028169014086
1800,0.09055555555555556,0.10666666666666667,0.04111111111111111,0.051111111111111114,0.049444444444444444,0.05555555555555555
1825,0.09041095890410959,0.1073972602739726,0.0410958904109589,0.05150684931506849,0.049315068493150684,0.05589041095890411
1850,0.09081081081081081,0.10648648648648648,0.04108108108108108,0.05081081081081081,0.04972972972972973,0.055675675675675676
1875,0.09066666666666667,0.10826666666666666,0.0416,0.0512,0.04906666666666667,0.05706666666666667
1900,0.09052631578947369,0.10736842105263159,0.041578947368421056,0.05105263157894737,0.04894736842105263,0.05631578947368421
